data,denominazione_regione,nuovi_positivi,totale_positivi,tamponi_settimanali,tamponi_positivi_settimanali,tamponi_test_antigenico_rapido,totale_positivi_test_antigenico_rapido
2024-09-04,Molise,53,173,285.0,25.0,302524.0,74627.0
2024-09-04,Piemonte,691,56360,7506.0,675.0,17629839.0,1291463.0
2024-09-04,Puglia,1187,5176,6960.0,1160.0,9890710.0,1185111.0
2024-09-04,Sardegna,204,12952,1551.0,204.0,3368749.0,349757.0
2024-09-04,Sicilia,124,1560,199.0,101.0,11470379.0,1292885.0
2024-09-04,Toscana,810,1776,4548.0,542.0,10318038.0,926890.0
2024-09-04,Trentino-Alto Adige,130,141,530.0,82.0,2221764.0,208556.0
2024-09-04,Umbria,197,978,1406.0,186.0,3432037.0,300311.0
2024-09-04,Valle d'Aosta,15,17,149.0,15.0,464337.0,36144.0
2024-09-04,Veneto,1635,11068,7617.0,572.0,27319582.0,1695668.0
2024-08-28,Abruzzo,445,2598,2685.0,351.0,5080019.0,426902.0
2024-08-28,Basilicata,87,10132,606.0,87.0,679629.0,131558.0
2024-08-28,Calabria,406,2021,1440.0,398.0,2606750.0,453633.0
2024-08-28,Campania,1982,10815,11406.0,1944.0,12430452.0,1607451.0
2024-08-28,Emilia-Romagna,1093,7761,4694.0,1003.0,9368814.0,1117531.0
2024-08-28,Friuli-Venezia Giulia,309,589,1129.0,259.0,4009151.0,357715.0
2024-08-28,Lazio,1934,76986,11266.0,1898.0,18044608.0,1506005.0
2024-08-28,Liguria,374,99,2396.0,372.0,4484859.0,406145.0
2024-08-28,Lombardia,2562,4491,16408.0,2367.0,30302666.0,2806309.0
2024-08-28,Marche,67,60,531.0,67.0,1788528.0,513819.0
2024-08-28,Molise,102,117,368.0,58.0,302239.0,74602.0
2024-08-28,Piemonte,756,56049,7625.0,748.0,17622333.0,1290788.0
2024-08-28,Puglia,1597,5635,7004.0,1543.0,9883750.0,1183951.0
2024-08-28,Sardegna,362,12765,1464.0,362.0,3367198.0,349553.0
2024-08-28,Sicilia,170,1552,515.0,106.0,11470180.0,1292784.0
2024-08-28,Toscana,892,1906,5560.0,598.0,10313490.0,926348.0
2024-08-28,Trentino-Alto Adige,173,174,544.0,116.0,2221234.0,208474.0
2024-08-28,Umbria,232,1031,1308.0,219.0,3430631.0,300125.0
2024-08-28,Valle d'Aosta,27,24,189.0,27.0,464188.0,36129.0
2024-08-28,Veneto,1651,11115,8855.0,607.0,27311965.0,1695096.0
2024-08-21,Abruzzo,516,2364,2192.0,341.0,5077334.0,426551.0
2024-08-21,Basilicata,44,10051,420.0,44.0,679023.0,131471.0
2024-08-21,Calabria,410,2033,1347.0,403.0,2605310.0,453235.0
2024-08-21,Campania,2050,10258,8129.0,1999.0,12419046.0,1605507.0
2024-08-21,Emilia-Romagna,982,6675,4346.0,898.0,9364120.0,1116528.0
2024-08-21,Friuli-Venezia Giulia,257,573,1056.0,203.0,4008022.0,357456.0
2024-08-21,Lazio,1585,75180,9172.0,1539.0,18033342.0,1504107.0
2024-08-21,Liguria,348,79,2154.0,356.0,4482463.0,405773.0
2024-08-21,Lombardia,1796,4221,10309.0,1636.0,30286258.0,2803942.0
2024-08-21,Marche,17,68,152.0,17.0,1787997.0,513752.0
2024-08-21,Molise,51,186,216.0,29.0,301871.0,74544.0
2024-08-21,Piemonte,611,55640,6647.0,588.0,17614708.0,1290040.0
2024-08-21,Puglia,1548,5994,5673.0,1519.0,9876746.0,1182408.0
2024-08-21,Sardegna,334,12439,1469.0,334.0,3365734.0,349191.0
2024-08-21,Sicilia,251,1561,220.0,210.0,11469665.0,1292678.0
2024-08-21,Toscana,1130,2025,4629.0,613.0,10307930.0,925750.0
2024-08-21,Trentino-Alto Adige,134,180,513.0,95.0,2220690.0,208358.0
2024-08-21,Umbria,244,1066,1073.0,231.0,3429323.0,299906.0
2024-08-21,Valle d'Aosta,21,21,147.0,21.0,463999.0,36102.0
2024-08-21,Veneto,1361,10990,4895.0,442.0,27303110.0,1694489.0
2024-08-14,Abruzzo,505,2044,2204.0,357.0,5075142.0,426210.0
2024-08-14,Basilicata,53,10018,447.0,53.0,678603.0,131427.0
2024-08-14,Calabria,455,2067,1440.0,446.0,2603963.0,452832.0
2024-08-14,Campania,2606,9814,12121.0,2557.0,12410917.0,1603508.0
2024-08-14,Emilia-Romagna,1035,5694,4466.0,966.0,9359774.0,1115630.0
2024-08-14,Friuli-Venezia Giulia,307,589,1174.0,247.0,4006966.0,357253.0
2024-08-14,Lazio,1925,73707,9310.0,1867.0,18024170.0,1502568.0
2024-08-14,Liguria,410,84,2544.0,415.0,4480309.0,405417.0
2024-08-14,Lombardia,2299,3920,13134.0,2117.0,30275949.0,2802306.0
2024-08-14,Marche,12,55,118.0,12.0,1787845.0,513735.0
2024-08-14,Molise,17,131,72.0,12.0,301655.0,74515.0
2024-08-14,Piemonte,680,55416,7357.0,664.0,17608061.0,1289452.0
2024-08-14,Puglia,1785,4985,6558.0,1753.0,9871073.0,1180889.0
2024-08-14,Sardegna,1027,12131,1466.0,1027.0,3364265.0,348857.0
2024-08-14,Sicilia,232,1480,225.0,207.0,11469445.0,1292468.0
2024-08-14,Toscana,1037,2023,5074.0,674.0,10303301.0,925137.0
2024-08-14,Trentino-Alto Adige,176,184,497.0,124.0,2220177.0,208263.0
2024-08-14,Umbria,288,1131,1297.0,269.0,3428250.0,299675.0
2024-08-14,Valle d'Aosta,17,18,132.0,15.0,463852.0,36081.0
2024-08-14,Veneto,1433,10894,6629.0,528.0,27298215.0,1694047.0
2024-08-07,Abruzzo,476,1650,2080.0,288.0,5072938.0,425853.0
2024-08-07,Basilicata,43,9970,456.0,43.0,678156.0,131374.0
2024-08-07,Calabria,489,2048,1464.0,465.0,2602523.0,452386.0
2024-08-07,Campania,3155,9510,14432.0,3096.0,12398796.0,1600951.0
